DATE,IPG2211A2N
2014-02-01,111.0634
2014-03-01,102.9008
2014-04-01,88.4616
2014-05-01,90.4626
2014-06-01,100.0769
2014-07-01,106.9482
2014-08-01,106.7093
2014-09-01,98.8751
2014-10-01,90.7419
2014-11-01,97.6890
2014-12-01,107.4271
2015-01-01,118.2531
2015-02-01,114.5314
2015-03-01,102.5269
2015-04-01,87.8376
2015-05-01,89.3234
2015-06-01,101.3075
2015-07-01,110.2383
2015-08-01,109.0313
2015-09-01,100.2090
2015-10-01,89.5855
2015-11-01,90.8250
2015-12-01,100.7938
2016-01-01,115.1674
2016-02-01,104.3863
2016-03-01,92.8190
2016-04-01,86.8329
2016-05-01,88.1170
2016-06-01,101.8577
2016-07-01,112.4728
2016-08-01,113.7737
2016-09-01,100.7216
2016-10-01,89.5038
2016-11-01,91.2208
2016-12-01,112.2986
2017-01-01,114.8147
2017-02-01,98.2106
2017-03-01,99.6345
2017-04-01,85.9082
2017-05-01,89.2046
2017-06-01,99.1950
2017-07-01,109.8528
2017-08-01,106.3907
2017-09-01,95.8093
2017-10-01,90.8111
2017-11-01,95.7434
2017-12-01,114.4252
2018-01-01,126.3733
2018-02-01,106.1863
2018-03-01,103.1210
2018-04-01,92.4278
2018-05-01,93.0757
2018-06-01,103.2564
2018-07-01,113.0907
2018-08-01,113.0437
2018-09-01,101.4021
2018-10-01,94.4855
2018-11-01,101.3770
2018-12-01,110.5761
